SampleID	Treatment	System
CT-D 4	CT-A	Arable
MT-D 1/1	MT-A	Arable
MT-D 1/2	MT-A	Arable
MT-D 1/3	MT-A	Arable
MT-D 2/1	MT-A	Arable
MT-D 2/2	MT-A	Arable
MT-D 2/3	MT-A	Arable
MT-D 3/1	MT-A	Arable
MT-D 3/2	MT-A	Arable
MT-D 3/3	MT-A	Arable
CT-D 1/2	CT-A	Arable
MT-D 4	MT-A	Arable
NT-D 1/1	NT-A	Arable
NT-D 1/2	NT-A	Arable
NT-D 1/3	NT-A	Arable
NT-D 2/1	NT-A	Arable
NT-D 2/2	NT-A	Arable
NT-D 2/3	NT-A	Arable
NT-D 3/1	NT-A	Arable
NT-D 3/2	NT-A	Arable
NT-D 3/3	NT-A	Arable
CT-D 1/3	CT-A	Arable
NT-D 4	NT-A	Arable
EKOJ-D 1/1	ORG-S	Strawberry
EKOJ-D 1/2	ORG-S	Strawberry
EKOJ-D 1/3	ORG-S	Strawberry
EKOJ-D 2/1	ORG-S	Strawberry
EKOJ-D 2/2	ORG-S	Strawberry
EKOJ-D 2/3	ORG-S	Strawberry
EKOJ-D 3/1	ORG-S	Strawberry
EKOJ-D 3/2	ORG-S	Strawberry
EKOJ-D 3/3	ORG-S	Strawberry
CT-D 2/1	CT-A	Arable
EKOJ-D 4	ORG-S	Strawberry
INTJ-D 1/1	INT-S	Strawberry
INTJ-D 1/2	INT-S	Strawberry
INTJ-D 1/3	INT-S	Strawberry
INTJ-D 2/1	INT-S	Strawberry
INTJ-D 2/2	INT-S	Strawberry
INTJ-D 2/3	INT-S	Strawberry
INTJ-D 3/1	INT-S	Strawberry
INTJ-D 3/2	INT-S	Strawberry
INTJ-D 3/3	INT-S	Strawberry
CT-D 2/2	CT-A	Arable
INTJ-D 4	INT-S	Strawberry
EKOS-K 1/1	ORG-O	Orchard
EKOS-K 1/2	ORG-O	Orchard
EKOS-K 1/3	ORG-O	Orchard
EKOS-K 2/1	ORG-O	Orchard
EKOS-K 2/2	ORG-O	Orchard
EKOS-K 2/3	ORG-O	Orchard
EKOS-K 3/1	ORG-O	Orchard
EKOS-K 3/2	ORG-O	Orchard
EKOS-K 3/3	ORG-O	Orchard
CT-D 2/3	CT-A	Arable
EKOS-K 4	ORG-O	Orchard
INTS-K 1/1	INT-O	Orchard
INTS-K 1/2	INT-O	Orchard
INTS-K 1/3	INT-O	Orchard
INTS-K 2/1	INT-O	Orchard
INTS-K 2/2	INT-O	Orchard
INTS-K 2/3	INT-O	Orchard
INTS-K 3/1	INT-O	Orchard
INTS-K 3/2	INT-O	Orchard
INTS-K 3/3	INT-O	Orchard
CT-D 3/1	CT-A	Arable
INTS-K 4	INT-O	Orchard
CT-D 3/2	CT-A	Arable
CT-D 3/3	CT-A	Arable
